,Date,Ticker,Price,Sector,Total-Score,E-Score,S-Score,G-Score
0,2020-01-01,A,79.61613464355469,Healthcare,17.52,0.87,9.42,7.23
1,2020-02-01,A,74.32189178466797,Healthcare,17.52,0.87,9.42,7.23
2,2020-03-01,A,69.06622314453125,Healthcare,17.52,0.87,9.42,7.23
3,2020-04-01,A,74.1146469116211,Healthcare,17.52,0.87,9.42,7.23
4,2020-05-01,A,85.21346282958984,Healthcare,17.52,0.87,9.42,7.23
5,2020-06-01,A,85.43582916259766,Healthcare,17.52,0.87,9.42,7.23
6,2020-07-01,A,93.32711029052734,Healthcare,16.79,0.87,9.42,6.5
7,2020-08-01,A,97.28958892822266,Healthcare,16.79,0.87,9.42,6.5
8,2020-09-01,A,97.79340362548828,Healthcare,16.79,0.87,9.42,6.5
9,2020-10-01,A,98.90753936767578,Healthcare,16.72,0.87,9.4,6.45
10,2020-11-01,A,113.46009826660156,Healthcare,16.72,0.87,9.4,6.45
11,2020-12-01,A,115.00328826904297,Healthcare,16.72,0.87,9.4,6.45
12,2021-01-01,A,116.63384246826172,Healthcare,16.64,0.87,9.44,6.33
13,2021-02-01,A,118.6722412109375,Healthcare,16.64,0.87,9.44,6.33
14,2021-03-01,A,123.60111999511719,Healthcare,16.57,0.87,9.44,6.26
15,2021-04-01,A,129.920166015625,Healthcare,16.57,0.87,9.44,6.26
16,2021-05-01,A,134.4895782470703,Healthcare,16.57,0.87,9.44,6.26
17,2021-06-01,A,143.91444396972656,Healthcare,16.57,0.87,9.44,6.26
18,2021-07-01,A,149.1915740966797,Healthcare,16.57,0.87,9.44,6.26
19,2021-08-01,A,171.07000732421875,Healthcare,16.57,0.87,9.44,6.26
20,2021-09-01,A,153.5798797607422,Healthcare,16.57,0.87,9.44,6.26
21,2021-10-01,A,153.5408935546875,Healthcare,16.57,0.87,9.44,6.26
22,2021-11-01,A,147.29930114746094,Healthcare,16.57,0.87,9.44,6.26
23,2021-12-01,A,155.8404998779297,Healthcare,16.57,0.87,9.44,6.26
24,2022-01-01,A,135.99562072753906,Healthcare,16.57,0.87,9.44,6.26
25,2022-02-01,A,127.4170150756836,Healthcare,15.33,0.34,8.65,6.34
26,2022-03-01,A,129.3425750732422,Healthcare,15.33,0.34,8.65,6.34
27,2022-04-01,A,116.57738494873047,Healthcare,15.33,0.34,8.65,6.34
28,2022-05-01,A,124.87599182128906,Healthcare,15.33,0.34,8.65,6.34
29,2022-06-01,A,116.27092742919922,Healthcare,15.33,0.34,8.65,6.34
30,2022-07-01,A,131.27838134765625,Healthcare,15.33,0.34,8.65,6.34
31,2022-08-01,A,125.77385711669922,Healthcare,15.33,0.34,8.65,6.34
32,2022-09-01,A,119.20321655273438,Healthcare,15.33,0.34,8.65,6.34
33,2022-10-01,A,135.6788330078125,Healthcare,15.33,0.34,8.65,6.34
34,2022-11-01,A,152.25079345703125,Healthcare,15.33,0.34,8.65,6.34
35,2022-12-01,A,147.01466369628906,Healthcare,15.33,0.34,8.65,6.34
36,2023-01-01,A,149.6246795654297,Healthcare,15.24,0.34,8.65,6.26
37,2023-02-01,A,139.67791748046875,Healthcare,15.24,0.34,8.65,6.26
38,2023-03-01,A,136.10650634765625,Healthcare,15.24,0.34,8.65,6.26
39,2023-04-01,A,133.24349975585938,Healthcare,15.24,0.34,8.65,6.26
40,2023-05-01,A,113.9879150390625,Healthcare,15.24,0.34,8.65,6.26
41,2023-06-01,A,118.5013198852539,Healthcare,15.24,0.34,8.65,6.26
42,2023-07-01,A,120.22835540771484,Healthcare,15.24,0.34,8.65,6.26
43,2023-08-01,A,119.53723907470703,Healthcare,15.24,0.34,8.65,6.26
44,2023-09-01,A,110.40433502197266,Healthcare,13.64,1.12,6.42,6.1
45,2023-10-01,A,102.0613021850586,Healthcare,13.64,1.12,6.42,6.1
46,2023-11-01,A,126.43643951416016,Healthcare,13.64,1.12,6.42,6.1
47,2023-12-01,A,137.54660034179688,Healthcare,13.64,1.12,6.42,6.1
48,2024-01-01,A,128.92958068847656,Healthcare,13.64,1.12,6.42,6.1
49,2024-02-01,A,136.12428283691406,Healthcare,13.64,1.12,6.42,6.1
50,2024-03-01,A,144.20095825195312,Healthcare,13.64,1.12,6.42,6.1
51,2024-04-01,A,135.80714416503906,Healthcare,13.64,1.12,6.42,6.1
52,2024-05-01,A,129.44676208496094,Healthcare,13.64,1.12,6.42,6.1
53,2024-06-01,A,128.6725311279297,Healthcare,13.64,1.12,6.42,6.1
54,2024-07-01,A,140.35557556152344,Healthcare,13.64,1.12,6.42,6.1
55,2024-08-01,A,142.12762451171875,Healthcare,13.64,1.12,6.42,6.1
56,2024-09-01,A,147.65679931640625,Healthcare,13.64,1.12,6.42,6.1
57,2024-10-01,A,129.58753967285156,Healthcare,13.64,1.12,6.42,6.1
58,2024-11-01,A,137.42349243164062,Healthcare,11.36,1.19,6.23,3.93
59,2024-12-01,A,133.807861328125,Healthcare,11.36,1.19,6.23,3.93
60,2020-01-01,AAPL,74.93375396728516,Technology,23.82,0.55,13.0,10.26
61,2020-02-01,AAPL,66.18167114257812,Technology,23.82,0.55,13.0,10.26
62,2020-03-01,AAPL,61.710845947265625,Technology,23.82,0.55,13.0,10.26
63,2020-04-01,AAPL,71.2990951538086,Technology,23.82,0.55,13.0,10.26
64,2020-05-01,AAPL,77.15738677978516,Technology,23.82,0.55,13.0,10.26
65,2020-06-01,AAPL,88.76895141601562,Technology,23.82,0.55,13.0,10.26
66,2020-07-01,AAPL,103.42750549316406,Technology,23.62,0.49,12.98,10.15
67,2020-08-01,AAPL,125.60027313232422,Technology,23.62,0.49,12.98,10.15
68,2020-09-01,AAPL,112.92617797851562,Technology,23.62,0.49,12.98,10.15
69,2020-10-01,AAPL,106.14924621582031,Technology,23.65,0.49,12.98,10.18
70,2020-11-01,AAPL,116.08550262451172,Technology,23.65,0.49,12.98,10.18
71,2020-12-01,AAPL,129.60906982421875,Technology,23.65,0.49,12.98,10.18
72,2021-01-01,AAPL,128.89602661132812,Technology,16.46,0.1,7.55,8.82
73,2021-02-01,AAPL,118.44447326660156,Technology,16.58,0.1,7.55,8.94
74,2021-03-01,AAPL,119.49210357666016,Technology,16.73,0.1,7.69,8.94
75,2021-04-01,AAPL,128.59947204589844,Technology,16.73,0.1,7.69,8.94
76,2021-05-01,AAPL,121.89857482910156,Technology,16.92,0.29,7.69,8.94
77,2021-06-01,AAPL,134.20741271972656,Technology,16.92,0.29,7.69,8.94
78,2021-07-01,AAPL,142.92857360839844,Technology,16.92,0.29,7.69,8.94
79,2021-08-01,AAPL,148.77854919433594,Technology,16.92,0.29,7.69,8.94
80,2021-09-01,AAPL,138.86390686035156,Technology,16.92,0.29,7.99,8.64
81,2021-10-01,AAPL,147.00927734375,Technology,16.92,0.29,7.99,8.64
82,2021-11-01,AAPL,162.2205352783203,Technology,16.92,0.29,7.99,8.64
83,2021-12-01,AAPL,174.5162811279297,Technology,16.92,0.29,7.99,8.64
84,2022-01-01,AAPL,171.77426147460938,Technology,16.92,0.29,7.99,8.64
85,2022-02-01,AAPL,162.28041076660156,Technology,16.27,0.65,6.86,8.76
86,2022-03-01,AAPL,171.82582092285156,Technology,16.27,0.65,6.86,8.76
87,2022-04-01,AAPL,155.13624572753906,Technology,16.27,0.65,6.86,8.76
88,2022-05-01,AAPL,146.4667205810547,Technology,16.41,0.65,6.86,8.9
89,2022-06-01,AAPL,134.73765563964844,Technology,16.41,0.65,6.86,8.9
90,2022-07-01,AAPL,160.15370178222656,Technology,16.41,0.65,6.86,8.9
91,2022-08-01,AAPL,154.9403839111328,Technology,16.68,0.65,6.86,9.18
92,2022-09-01,AAPL,136.3853759765625,Technology,16.68,0.65,6.86,9.18
93,2022-10-01,AAPL,151.3265838623047,Technology,16.68,0.65,6.86,9.18
94,2022-11-01,AAPL,146.08628845214844,Technology,16.68,0.65,6.86,9.18
95,2022-12-01,AAPL,128.43667602539062,Technology,16.68,0.65,6.86,9.18
96,2023-01-01,AAPL,142.631591796875,Technology,16.68,0.65,6.86,9.18
97,2023-02-01,AAPL,145.71575927734375,Technology,16.68,0.65,6.86,9.18
98,2023-03-01,AAPL,163.25360107421875,Technology,16.68,0.65,6.86,9.18
99,2023-04-01,AAPL,167.9859161376953,Technology,16.68,0.65,6.86,9.18
100,2023-05-01,AAPL,175.48031616210938,Technology,16.68,0.65,6.86,9.18
101,2023-06-01,AAPL,192.29901123046875,Technology,16.68,0.65,6.86,9.18
102,2023-07-01,AAPL,194.75762939453125,Technology,16.68,0.65,6.86,9.18
103,2023-08-01,AAPL,186.25157165527344,Technology,16.68,0.65,6.86,9.18
104,2023-09-01,AAPL,169.96429443359375,Technology,17.22,0.46,7.39,9.37
105,2023-10-01,AAPL,169.52749633789062,Technology,17.22,0.46,7.39,9.37
106,2023-11-01,AAPL,188.56793212890625,Technology,17.22,0.46,7.39,9.37
107,2023-12-01,AAPL,191.38096618652344,Technology,17.22,0.46,7.39,9.37
108,2024-01-01,AAPL,183.2994842529297,Technology,17.22,0.46,7.39,9.37
109,2024-02-01,AAPL,179.6712646484375,Technology,17.22,0.46,7.39,9.37
110,2024-03-01,AAPL,170.67410278320312,Technology,17.22,0.46,7.39,9.37
111,2024-04-01,AAPL,169.52951049804688,Technology,17.22,0.46,7.39,9.37
112,2024-05-01,AAPL,191.3464813232422,Technology,17.22,0.46,7.39,9.37
113,2024-06-01,AAPL,209.91448974609375,Technology,17.22,0.46,7.39,9.37
114,2024-07-01,AAPL,221.3361053466797,Technology,17.22,0.46,7.39,9.37
115,2024-08-01,AAPL,228.23292541503906,Technology,17.22,0.46,7.39,9.37
116,2024-09-01,AAPL,232.48831176757812,Technology,17.22,0.46,7.39,9.37
117,2024-10-01,AAPL,225.4138946533203,Technology,16.79,0.55,7.52,8.72
118,2024-11-01,AAPL,236.80880737304688,Technology,16.79,0.55,7.52,8.72
119,2024-12-01,AAPL,250.1449737548828,Technology,16.79,0.55,7.52,8.72
120,2020-01-01,ABBV,64.1774673461914,Healthcare,30.35,0.96,16.54,12.84
121,2020-02-01,ABBV,68.80976867675781,Healthcare,30.35,0.96,16.54,12.84
122,2020-03-01,ABBV,61.16691207885742,Healthcare,30.35,0.96,16.54,12.84
123,2020-04-01,ABBV,65.99186706542969,Healthcare,30.35,0.96,16.54,12.84
124,2020-05-01,ABBV,75.5069580078125,Healthcare,30.35,0.96,16.54,12.84
125,2020-06-01,ABBV,79.99647521972656,Healthcare,30.35,0.96,16.54,12.84
126,2020-07-01,ABBV,77.33209991455078,Healthcare,30.19,0.96,16.53,12.69
